名称	类型	牌等级	
埃隆巴克保护者	随从	基础卡牌	
丛林守护者	随从	稀有卡牌	
丛林之魂	法术	普通卡牌	
愤怒	法术	普通卡牌	
横扫	法术	基础卡牌	
激活	法术	基础卡牌	
利爪德鲁伊	随从	普通卡牌	
塞纳留斯	随从	传说卡牌	
撕咬	法术	稀有卡牌	
星辰坠落	法术	稀有卡牌	
星火术	法术	基础卡牌	
野蛮咆哮	法术	基础卡牌	
野蛮之击	法术	稀有卡牌	
野性成长	法术	基础卡牌	
野性印记	法术	基础卡牌	
野性之力	法术	普通卡牌	
月火术	法术	基础卡牌	
战争古树	随从	史诗卡牌	
知识古树	随从	史诗卡牌	
治疗之触	法术	基础卡牌	
爪击	法术	基础卡牌	
滋养	法术	稀有卡牌	
自然平衡	法术	普通卡牌	
自然印记	法术	普通卡牌	
自然之力	法术	史诗卡牌	
奥术飞弹	法术	基础卡牌	
奥术智慧	法术	基础卡牌	
暴风雪	法术	稀有卡牌	
变形术	法术	基础卡牌	
冰枪术	法术	普通卡牌	
冰霜新星	法术	基础卡牌	
冰锥术	法术	普通卡牌	
大法师安东尼达斯	随从	传说卡牌	
法力浮龙	随从	普通卡牌	
法术反制	法术	稀有卡牌	
寒冰护体	法术	普通卡牌	
寒冰箭	法术	基础卡牌	
寒冰屏障	法术	史诗卡牌	
火球术	法术	基础卡牌	
镜像	法术	基础卡牌	
镜像实体	法术	普通卡牌	
肯瑞托法师	随从	稀有卡牌	
烈焰风暴	法术	基础卡牌	
魔爆术	法术	基础卡牌	
扰咒术	法术	史诗卡牌	
水元素	随从	基础卡牌	
巫师学徒	随从	普通卡牌	
虚灵奥术师	随从	稀有卡牌	
炎爆术	法术	史诗卡牌	
蒸发	法术	稀有卡牌	
奥术射击	法术	基础卡牌	
暴龙王克鲁什	随从	传说卡牌	
爆炸射击	法术	稀有卡牌	
爆炸陷阱	法术	普通卡牌	
冰冻陷阱	法术	普通卡牌	
长鬃草原狮	随从	稀有卡牌	
动物伙伴	法术	基础卡牌	
毒蛇陷阱	法术	史诗卡牌	
多重射击	法术	基础卡牌	
关门放狗	法术	普通卡牌	
饥饿的秃鹫	随从	基础卡牌	
狙击	法术	普通卡牌	
狂野怒火	法术	史诗卡牌	
猎人印记	法术	基础卡牌	
森林狼	随从	基础卡牌	
杀戮命令	法术	基础卡牌	
食腐土狼	随从	普通卡牌	
苔原犀牛	随从	基础卡牌	
误导	法术	稀有卡牌	
驯犬大师	随从	基础卡牌	
照明弹	法术	稀有卡牌	
致命射击	法术	普通卡牌	
追踪术	法术	基础卡牌	
暗言术：灭	法术	基础卡牌	
暗言术：痛	法术	基础卡牌	
暗影狂乱	法术	稀有卡牌	
暗影形态	法术	史诗卡牌	
奥金尼灵魂祭司	随从	稀有卡牌	
北郡牧师	随从	基础卡牌	
沉默	法术	普通卡牌	
光明之泉	随从	稀有卡牌	
光耀之子	随从	普通卡牌	
精神控制	法术	基础卡牌	
控心术	法术	史诗卡牌	
秘教暗影祭司	随从	史诗卡牌	
群体驱散	法术	稀有卡牌	
神圣惩击	法术	基础卡牌	
神圣新星	法术	基础卡牌	
神圣之火	法术	稀有卡牌	
神圣之灵	法术	基础卡牌	
圣殿执行者	随从	普通卡牌	
思维窃取	法术	普通卡牌	
先知维纶	随从	传说卡牌	
心灵视界	法术	基础卡牌	
心灵震爆	法术	基础卡牌	
心灵之火	法术	普通卡牌	
真言术：盾	法术	基础卡牌	
治疗之环	法术	普通卡牌	
艾德温·范克里夫	随从	传说卡牌	
暗影步	法术	基础卡牌	
背刺	法术	基础卡牌	
背叛	法术	普通卡牌	
刺骨	法术	普通卡牌	
刺杀	法术	基础卡牌	
刀扇	法术	基础卡牌	
迪菲亚头目	随从	普通卡牌	
毒刃	法术	普通卡牌	
疾跑	法术	基础卡牌	
剑刃乱舞	法术	稀有卡牌	
劫持者	随从	史诗卡牌	
军情七处特工	随从	稀有卡牌	
冷血	法术	普通卡牌	
裂颅之击	法术	稀有卡牌	
闷棍	法术	基础卡牌	
耐心的刺客	随从	史诗卡牌	
伺机待发	法术	史诗卡牌	
伪装大师	随从	稀有卡牌	
消失	法术	基础卡牌	
隐藏	法术	普通卡牌	
影袭	法术	基础卡牌	
致命药膏	法术	基础卡牌	
冰霜震击	法术	基础卡牌	
叉状闪电	法术	普通卡牌	
尘魔	随从	普通卡牌	
大地震击	法术	普通卡牌	
法力之潮图腾	随从	稀有卡牌	
风怒	法术	基础卡牌	
风语者	随从	基础卡牌	
火舌图腾	随从	基础卡牌	
火元素	随从	基础卡牌	
熔岩爆裂	法术	稀有卡牌	
闪电风暴	法术	稀有卡牌	
闪电箭	法术	普通卡牌	
石化武器	法术	基础卡牌	
视界术	法术	史诗卡牌	
嗜血	法术	基础卡牌	
图腾之力	法术	基础卡牌	
土元素	随从	史诗卡牌	
无羁元素	随从	普通卡牌	
先祖之魂	法术	稀有卡牌	
先祖治疗	法术	基础卡牌	
妖术	法术	基础卡牌	
野性狼魂	法术	稀有卡牌	
奥尔多卫士	随从	稀有卡牌	
保护之手	法术	基础卡牌	
忏悔	法术	普通卡牌	
崇高牺牲	法术	普通卡牌	
愤怒之锤	法术	基础卡牌	
奉献	法术	基础卡牌	
复仇之怒	法术	史诗卡牌	
救赎	法术	普通卡牌	
力量祝福	法术	基础卡牌	
列王守卫	随从	基础卡牌	
谦逊	法术	基础卡牌	
神恩术	法术	稀有卡牌	
神圣愤怒	法术	稀有卡牌	
生而平等	法术	稀有卡牌	
圣光术	法术	基础卡牌	
圣疗术	法术	史诗卡牌	
受祝福的勇士	法术	稀有卡牌	
提里奥·弗丁	随从	传说卡牌	
王者祝福	法术	基础卡牌	
以眼还眼	法术	普通卡牌	
银色保卫者	随从	普通卡牌	
智慧祝福	法术	普通卡牌	
暗影箭	法术	基础卡牌	
暗影烈焰	法术	稀有卡牌	
地狱烈焰	法术	基础卡牌	
恶魔卫士	随从	稀有卡牌	
恶魔之火	法术	普通卡牌	
腐蚀术	法术	基础卡牌	
感知恶魔	法术	普通卡牌	
恐惧地狱火	随从	基础卡牌	
力量的代价	法术	普通卡牌	
烈焰小鬼	随从	普通卡牌	
灵魂虹吸	法术	稀有卡牌	
灵魂之火	法术	基础卡牌	
魅魔	随从	基础卡牌	
末日守卫	随从	稀有卡牌	
末日灾祸	法术	传说卡牌	
扭曲虚空	法术	史诗卡牌	
深渊领主	随从	传说卡牌	
死亡缠绕	法术	基础卡牌	
吸取生命	法术	基础卡牌	
牺牲契约	法术	基础卡牌	
鲜血小鬼	随从	普通卡牌	
虚空恐魔	随从	稀有卡牌	
虚空行者	随从	基础卡牌	
召唤传送门	随从	普通卡牌	
阿拉希铸剑师	随从	普通卡牌	
暴怒狂战士	随从	稀有卡牌	
残酷的监工	随从	普通卡牌	
冲锋	法术	基础卡牌	
盾牌格挡	法术	基础卡牌	
盾牌猛击	法术	传说卡牌	
绝命乱斗	法术	史诗卡牌	
库卡隆精英卫士	随从	基础卡牌	
狂暴	法术	普通卡牌	
猛击	法术	普通卡牌	
命令怒吼	法术	稀有卡牌	
怒火中烧	法术	普通卡牌	
升级！	法术	稀有卡牌	
顺劈斩	法术	基础卡牌	
旋风斩	法术	基础卡牌	
英勇打击	法术	基础卡牌	
斩杀	法术	基础卡牌	
战斗怒火	法术	普通卡牌	
战歌指挥官	随从	基础卡牌	
致死打击	法术	稀有卡牌	
铸甲师	随从	稀有卡牌	
阿古斯防御者	随从	稀有卡牌	
